Ano;Região;UF;Código do Município;Nome do Município;Localização;Dependência Administrativa;Total  ;1ª série;2ª série;3ª série;4ª série;Não-Seriado
2019;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;6,8;12,7;8;0;--;--
2019;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;6,8;12,7;8;0;--;--
2019;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;6,8;12,7;8;0;--;--
2019;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Pública;6,8;12,7;8;0;--;--
2019;Sudeste;SP;3500907;Altair;Total;Total;0,8;0;2,1;0;--;--
2019;Sudeste;SP;3500907;Altair;Urbana;Total;0,8;0;2,1;0;--;--
2019;Sudeste;SP;3500907;Altair;Total;Estadual;0,8;0;2,1;0;--;--
2019;Sudeste;SP;3500907;Altair;Urbana;Estadual;0,8;0;2,1;0;--;--
2019;Sudeste;SP;3500907;Altair;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500907;Altair;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500907;Altair;Total;Pública;0,8;0;2,1;0;--;--
2019;Sudeste;SP;3500907;Altair;Urbana;Pública;0,8;0;2,1;0;--;--
2019;Sudeste;SP;3501004;Altinópolis;Total;Total;5,7;6,7;5,2;5,2;--;--
2019;Sudeste;SP;3501004;Altinópolis;Urbana;Total;5,7;6,7;5,2;5,2;--;--
2019;Sudeste;SP;3501004;Altinópolis;Rural;Total;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;Total;Estadual;6,5;7,2;6,1;6;--;--
2019;Sudeste;SP;3501004;Altinópolis;Urbana;Estadual;6,5;7,2;6,1;6;--;--
2019;Sudeste;SP;3501004;Altinópolis;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501004;Altinópolis;Urbana;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501004;Altinópolis;Total;Pública;6,5;7,2;6,1;6;--;--
2019;Sudeste;SP;3501004;Altinópolis;Urbana;Pública;6,5;7,2;6,1;6;--;--
2019;Sudeste;SP;3501004;Altinópolis;Rural;Pública;--;--;--;--;--;--
2019;Sudeste;SP;3501103;Alto Alegre;Total;Total;7,7;11,6;10;0;--;--
2019;Sudeste;SP;3501103;Alto Alegre;Urbana;Total;7,7;11,6;10;0;--;--
