Ano;Região;UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Localização;Dependência Administrativa;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono
2019;Sudeste;SP;3500709;Agudos;35227158;LEITE CORONEL EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;35227161;LUIZ ODASSI NETO PROF EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;35246323;FAUSTO DE MARCO PROF EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;35440000;FAAG COLEGIO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500709;Agudos;35634876;SEBASTIAO FUNCHAL EMEFEI CRECHE;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500709;Agudos;35905859;NILZA MARIA SANTAREM PASCHOAL PROFA;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500758;Alambari;35036912;EDUARDO SOARES PROF;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3500758;Alambari;35057927;LUCIANO JOSE RAMOS EMEIF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500758;Alambari;35243632;TIAGO DE JESUS MARTINS EMEIEF;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500758;Alambari;35243644;JOSE GRACA EMEIEF;Rural;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500758;Alambari;35243668;NIVALDO LAZARO DO CARMO CUBAS EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3500808;Alfredo Marcondes;35031896;FILOMENA SCATENA CHRISTOFANO;Urbana;Estadual;6,8;12,7;8,0;0,0;--;--
2019;Sudeste;SP;3500907;Altair;35028228;OVIDIO DE SOUZA DIAS;Urbana;Estadual;0,8;0,0;2,1;0,0;--;--
2019;Sudeste;SP;3500907;Altair;35239773;MARIA BAPTISTA DE CASTRO PROFESSORA EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501004;Altinópolis;35022901;ANTONIO BARREIROS PROFESSOR;Urbana;Estadual;6,5;7,2;6,1;6,0;--;--
2019;Sudeste;SP;3501004;Altinópolis;35124679;CARLOS DRUMOND DE ANDRADE COLEGIO;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
